primaryTitle,startYear,critic_rating,critic_review
The Catechism Cataclysm,2011,47,"                      The film is kind of a road trip, kind of a voyage of self-discovery, and kind of an ""Apocalypse Now"" style journey into a chaotic, surreal hell.                  "
Trade of Innocents,2012,0,                      A middling thriller wrapped around a compelling lecture about the child sex trade in Southeast Asia...                  
Outside Bet,2012,0,"                      Tension in the final section is never enough to send pulses galloping, making this more of a trot over well-trodden ground than a hot tip.                  "
Mara,2018,28,"                      A crime thriller and supernatural horror about the unnerving experiences of people with sleep paralysis. Plenty in its favor, but nowhere near enough.                  "
The Punk Syndrome,2012,94,"                      Somewhere in this footage there is a brilliant story of overcoming adversity through the acceptance of the classically outcast, but what is here feels lazy, incomplete, and somewhat exploitative.                  "
Porfirio,2011,67,                      Insider view of would-be terrorist activity quietly but forcefully packs a punch.                  
Bobby Fischer Against the World,2011,88,                      A great introduction to this once-in-a-generation player.                  
Rosaline,2022,74,                      …Rosaline passes muster as an amusing update on the classic story that at least questions the assumptions that we casually make about the values within Shakespeare’s plays…                  
Demons Never Die,2011,13,                      The overly familiar can make for an entertaining ride all the same with the right amount of slick style and intelligent inspiration.                  
The Ultimate Life,2013,18,"                      'The Ultimate Life' is an awkward, mostly dull, but well-intentioned faith-based movie, among the less-than-stellar offerings that, unfortunately, often presented to the sadly under-served faith-based audience that deserves thoughtful screenplays.                  "
Lord Byron,2011,71,                      A film that sometimes feels like performance art or a spoken word performance.                  
Aftershock,2012,39,"                      While hospitals send out anodyne statements that ""every death is a tragedy"" without taking responsibility, these families show in detail the emotional costs of systemic bias.                  "
Clown,2014,44,"                      While competently made and demonstrating Watts' assured talent, the story and characters fail to engage in any way outside of disturbing us.                  "
Holy Rollers: The True Story of Card Counting Christians,2011,100,                      It's sort of a Michael Moore meets Morgan Spurlock glimpse inside the world of The Church Team.                  
Seberg,2019,35,                      As insightful as the shallow end of a swimming pool                  
Wilson,2017,47,"                      Harrelson and Dern's performances inevitably outshine their source material, as the film's sloppy third act will leave you with a bad taste in your mouth.                  "
Anna Karenina,2012,62,"                      While even skilled filmmakers would have trouble adapting Tolstoy’s novel in a straightforward form, Wright attempts a book-to-stage-to-film approach and, for the first time in his career, stretched his considerable talent thin.                  "
Burn,2012,100,                      Burn lets us inside a world we wouldn't otherwise see -- it's far too dangerous for most of us. But these admirable men wouldn't have it any other way.                  
No Escape,2015,48,                      “No Escape” makes it easy to overlook its shortcomings because you’ll be so fiercely absorbed in the next stressful encounter.                   
Hail,2011,71,"                      What starts out as a promising drama...quickly dissolves into an ugly, unpleasant character portrait about an unrepentant brute who prefers to scream at the world rather than confront it.                  "
Letters from the Big Man,2011,86,"                      Munch never quite reconciles his psychological and environmental themes, but his characters are so richly imagined and the location photography (by his regular cinematographer, Rob Sweeney) is so gorgeous that the movie still casts a rare spell.                  "
Union Square,2011,66,"                      At a running time of 80 minutes, Union Square runs into some threadbare patches, but nothing that isn't quickly dissipated by a passionately endearing performance from Sorvino.                  "
Players,2012,43,"                      Music by Pritam is good while it lasts. Some editing sorely needed, visual imagery quite polished, and the look as usual is of new age Bollywood.                  "
Deviation,2012,13,"                      In Buried, Ryan Reynolds spends the whole film underground in a coffin - child's play compared to what Anna Walton is put through here. She spends an entire night locked in a car with Danny Dyer - while he acts at her.                  "
Resurrection,2010,17,"                      If this sounds like a knockoff of Se7en, that's because it is.                  "
The Punk Singer,2013,91,"                      What was most refreshing, though, was getting to see sides of Hanna's personality that aren't always immediately apparent from interviews and stage banter.                  "
The Vault,2017,27,                      Extremely predictable... there is something that happens that it just gives it everything away very easily.                  
Family Portrait in Black and White,2011,90,"                      It's a fascinating story, fascinatingly told.                  "
Jess + Moss,2011,80,                      Jess + Moss is a simply beautiful film with amazing sound work and nearly flawless direction.                  
Resurrect Dead: The Mystery of the Toynbee Tiles,2011,65,                      ...a skillful yet fairly ordinary festival film that tells a moderately intriguing story ...                  
The Flaw,2011,83,                      Well researched and informative.                  
Uncle Kent,2011,60,"                      ""Hi, where have you been all my life?"" may be learned behavior, but it always sounds good up close... [A] sense of life-just-happens and what-the-------just-happened, those instants just before cheeks flush and unwelcome memories etch.                  "
Kill List,2011,78,"                      An element of the occult, of some sinister, unknown outside force encroaching on the narrative, driving characters closer and closer to the brink of madness.                  "
Forget Me Not,2010,69,"                      Fans of Menzies, O'Reilly, and Jones will probably want to see Forget Me Not for their work here. Lovers of London may want to see the film for its fabulous shots of the city. It just is not a movie for those seeking a plausible cinematic romance.                  "
Murph: The Protector,2013,78,"                      The story of Lt. Michael P. Murphy's life doesn't need to be hyped, and Murph: The Protector does a good job of staying out of its way.                  "
The Other F Word,2011,78,                      A film that should have its own special place among rock n' roll documentaries.                  
Struck by Lightning,2012,32,"                      Brian Dannelly's direction keeps the film clean, simple. A softness to the visual tone of the film both in lighting and use of color serves as a nice balance to the harsh realities and high school!                  "
Weekend,2011,95,                      Andrew Haigh reinvents the romantic chamber piece with this off-beat pairing...                  
Without,2011,90,"                      Jackson shows a lot of promise as a director, based on this debut.                  "
Cirque du Soleil: Worlds Away,2012,45,"                      Soaringly pointless. No point to it whatsoever. I looked. I looked everywhere for a point, even under my cinema seat. But I came up empty-handed. It's 90 minutes of sheer, total, utter pointlessness.                  "
Shakedown,2018,100,                      The grainy look adds an immersive texture to the film...                  
Wild Bill,2011,100,"                      Like its central character, this comedy-drama is a likable underdog in the collection of black-humored British crime movies influenced by the likes of Lock, Stock and Two Smoking Barrels.                  "
My First Wedding,2011,0,"                      Even with the utterly gorgeous Cooke, this film stinks.                  "
Savannah,2013,13,                      Some beautifully photographed landscape shots are the only aspect of interest in this bewilderingly bland exercise.                  
Downtown Express,2011,55,"                      Marked by wide-eyed charm, though not particularly adroit -- a marginal pan, owing to its somewhat lazy and functional narrative. Still, its music, from Philippe Quint and Nellie McKay, absolutely sings.                  "
From Up on Poppy Hill,2011,87,"                      Poppy Hill” is beautiful, but more dull than expected. It would be nice to see Goro Miyazaki engage in stories that actually resonate with him, rather than to follow his father’s script (or footsteps).                  "
This Is Martin Bonner,2013,93,"                      Director Chad Hartigan's hopeful approach to the material, combined with the terrific cast and cinematography, come together to make this one of 2013's quiet triumphs.                  "
Bad Santa 2,2016,23,"                      While the foul language, misanthropic attitude, and cynical performances still come into focus, even squinting might not pick up much in the way of the first film's clever plotting, genuine wit, and sneaky subversive streak running throughout.                  "
Firestarter,2022,10,"                      This was Firestarter, turgid Firestarter  Unwanted Firestarter, dire Firestarter  Pointless Firestarter, one star Firestarter                  "
Southpaw,2015,60,"                      The entire film hinges on Gyllenhaal, because everything else onscreen adopts the worn-out blueprints of every boxing film you've ever seen.                  "
Joanna,2010,20,                      A monument to cheap ambition.                  
Benji,2018,60,                      Updated dog tale has realistic peril and violence.                  
American Hustle,2013,92,"                      “American Hustle” is more of a showcase of great actors than it is great storytelling, but it still keeps you glued to the screen as you watch them do their work.                  "
Brooklyn Castle,2012,96,                      I cannot recommend this highly enough. You will find hope in a new generation of teenagers and a desire to see education thrive in our country again.                  
Gold,2016,41,                      A movie that is completely hollow and only saved by Matthew McConaughey's committed performance.                  
Turkey Bowl,2011,70,"                      The dialogue is hilarious and real, ranging from playful jabs between characters to insults masking deeper resentments to the dumb braggadocio that only comes after knowing someone a long time.                  "
Better Than Something: Jay Reatard,2011,80,"                      Better Than Something isn't bad, but it never really gets to the bottom of Reatard's anger issues.                  "
Beyond,2012,81,"                      If Mad Max Beyond Thunderdome doesn't live up to the pace and power of its predecessors, its richer visual style and more substantial storyline and characterizations, are a welcome, if not wholly successful, change in emphasis.                   "
Me and You,2012,67,                      The film never elevates beyond a sometimes ungainly and trifling exploration of themes and relationships exhibited more daringly and memorably in other works.                  
Gotti,2018,0,"                      Mob movies can make for great cinema. But, curiosity isnt by itself worthy of art, which makes Gotti more informational than good.                  "
The Hater,2022,90,"                      Generally, I found The Hater charming and lovable.                  "
The Lady,2011,36,"                      His story telling clings hard to sentimentality rather than historical facts, but thanks to an Oscar worthy performance by Yeoh and a stark realism...The Lady makes for a powerful, if not weighty, biopic.                  "
Sound It Out,2011,93,"                      It is lovely; full of heart, affection and thoughtfulness.                  "
Girl Model,2011,92,"                      Redmon and Sabin have created an unflinching film, with their cameras deeply fixed on the subject matter and refusing to turn away.                  "
Super,2010,49,                      Insurmountable disaster [Full review in Spanish]                   
As I Lay Dying,2013,38,"                      James Franco continues his aggressive campaign to make everyone hate him, despite his roguish good looks, with a film adaptation of William Faulkner's ""As I Lay Dying.""                  "
As Luck Would Have It,2011,38,"                      A great looking film, its ancient Roman amphitheater a perfect stage for its tragicomic contents. Unfortunately, it's completely devoid of sparks of any kind.                  "
Jackpot,2011,59,"                      As Nordic imports go, it's hardly as offensive as lutefisk.                  "
Ecstasy,2011,15,"                      A drug-fueled landscape impacted by the Thatcher years, characterized by Scottish working class misery and massive unemployment feeding the underground drug economy. And reflecting Welsh's own conflicting personas as cult figure, pariah and antichrist.                  "
Unbroken,2014,52,                      “Unbroken” is a competent and well-intentioned movie centered around an inspiring true story.                  
On the Sly,2011,100,"                      A compelling, wholly original tale marred a bit by its young heroine's incessant chatter on the soundtrack.                  "
Little Boy,2015,25,                      There's an earnestness that simply can't be denied.                  
Meeting Evil,2012,13,"                      It features tons of poor decisions, from the overwrought and intrusive musical score to bad-joke one liners from the main characters down to the supporting ones. The worst decision either actor made was actually appearing in this awful film.                  "
The Salt of Life,2011,84,                      The appeal of The Salt of Life lies in Gregorio's ability to imbue his film with an amusing sense of natural playfulness.                  
Admission,2013,39,"                      If Admission had become an edgier film, I have a strange feeling that we'd be watching yet another really great Tina Fey comedy.                  "
Gerontophilia,2013,50,                      This really is a small revolution here. Making us see the world differently than we came to it eighty-two minutes earlier.                  
Beloved,2011,57,                      Tackles lightly and with levity complex themes with more triumphs than shortcomings... [Full review in Spanish]                  
The National Parks Project,2011,100,"                      As with any omnibus work, the components are somewhat uneven. But some are brilliant. It's like looking at the results of a a life-drawing class that has, as its subject, the best parts of the whole country laid bare.                  "
The Aggression Scale,2012,100,"                      You kind of have to buy in to what The Aggression Scale is selling in order to enjoy this film. And I did, so I did.                  "
A Case of You,2013,47,"                      With all the obvious flaws, A Case of You is still very entertaining and enjoyable.                  "
The Place Beyond the Pines,2012,78,"                      Cianfrance never allows his viewers to escape the heartbreak of his film, consuming us with a resounding feeling of sorrow over these characters and the way their lives set paths for one another.                  "
Girl in Progress,2012,33,"                      You hope for this mother and daughter to find their way. After all, at the end of the day, isn't each of us really just a Girl In Progress.                  "
The Other Side,2015,83,                      [Director Roberto Minervini] demonstrates a clear and deep knowledge of the winding swamps through which he passes... there is no respite. [Full review in Spanish]                  
Dreams of a Life,2011,76,"                      The film examines just how precious every single life is, how closely we are connected to other people, and how important it is to never lose that connection.                  "
War Witch,2012,94,"                      That the teenage Rachel Mwanza can show us, and make us feel viscerally, a bit of what such a child goes through is a miracle in itself.                  "
Patagonia Rising,2011,50,                      A documentary that makes a good case against the building of five large dams in Chile designed to make a profit for European investors.                  
The Ballad of Genesis and Lady Jaye,2011,67,"                      The result is a movie where actions that might seem, at a cursory glance, to be radical to the point of madness become perfectly rational expressions of that crazy thing called love.                  "
The Nut Job,2014,13,"                      Strictly one for the kids, the animated heist flick The Nut Job zips by thanks to its nonstop barrage of family-friendly mayhem.                  "
8 Murders a Day,2011,57,"                      [Although it's] somewhat repetitive and not terribly well-organized, it shines an important light on what the filmmaker deems ""the greatest human rights disaster in the world today.""                  "
Mateo,2014,63,"                      Mateo won't do much for an average viewer, but those interested in the subject matter will find themselves having a good time with it.                  "
My Best Enemy,2011,18,"                      While the film generates some mild suspense and the period re-creation is convincing enough, the twists eventually become more contrived and preposterous.                  "
House of Darkness,2022,60,"                      House of Darkness is where male privilege finds edgy accommodation from a vindictive sisterhood – & this increasingly vicious clinch of the sexes yields nightmarish Holocaust imagery alongside more conventional, if partly modernised, gothic furnishings.                   "
Flying Blind,2012,50,"                      Flying Blind introduces yet another new and exciting female filmmaker with a distinctive voice, and she's equally complimented by a stunning turn from her lead actress.                  "
Love Life,2022,85,"                      A somber spirit propels “Love Life,” a vital melodrama about the difficulty of moving on.                  "
Annie,2014,28,                      An attempt to recreate an icon for a new age but falls flatter than Miss Hannigan's high notes.                  
Chappie,2015,32,"                      Blomkamp’s film contains a concept ripe with possibility, but instead of realizing its full potential, he loses himself in machines and mayhem.                  "
Song Without a Name,2019,93,                      A solid debut by Peruvian director Melina León. [Full review in Spanish]                  
The Double,2013,84,"                      Rather than a faithful modernization of Dostoyevsky, the source material is a springboard for this creative young director to engage in some very ambitious, very intellectual filmmaking.                  "
The Surrogate,2020,95,                      It’s a lightweight treatment of some serious issues that can border on antic sitcom-style contrivance. But the performers are expert...                  
Black Panther,2018,96,                      Wakanda Forever is the big screen outing that has all the elements to give you a larger than life cinematic experience.                   
Mike,2011,78,"                      As always, Soderbergh’s treatment manages to make familiar material into something that surprises us when we realize how emotionally involved we’ve become.                  "
Paradise,2011,21,"                      Paradise claims to be the story of young woman's crisis of faith and subsequent rebirth, but in execution, it feels more like a story about someone who was in a bad mood for a while but eventually got over it.                  "
Paint It Black,2017,88,"                      If that sounds a bit florid, then you've got the idea. Paint It Black is purple and overcooked, swelling to burst with rococo emotion. It doesn't always hold together but it's too outstanding to be ignored.                  "
Mad As Hell,2014,27,"                      A slick-looking doc, but its storytelling is decidedly conventional: the talking head interviews serve their purpose, and the backstage footage is interesting, but none of it feels as spontaneous, alive and dangerous as Uygur.                  "
About Last Night,2014,69,"                      Frisky and a little freaky, but not as funny or insightful as it thinks it is.                  "
Green,2011,80,"                      Articularly acute as a character study of a young woman overcome with emotions she doesn't entirely understand and yet a film that grows well beyond the frame, lingering in thoughts long after leaving the theater.                  "
Life of the Party,2018,38,"                      The comedy consistently works, with McCarthy showing off her versatility as a performer.                  "
Captivated: The Trials of Pamela Smart,2014,75,"                      No one gets away from 'Captivated' clean: not the viewer, not the participants, not even the filmmaker.                  "
Petunia,2012,20,"                      With honesty, conviction, humor, and insight, Christian and his cast and crew have created what is easily one of summer 2013's best films.                  "
Padre Pio,2022,44,"                      But even with its flaws, Padre Pio can be recognized as an admirable and deeply personal effort — for both its director and its star — that still packs the occasional cinematic punch.                  "
Harvest,2011,73,"                      It's safe to say that 'Harvest' is a modest film, but those are often the ones that pull on our emotions the most.                  "
Relative,2022,100,"                      While some instances feel more organic than others, none are completely out of place conceptually and all end up providing another springboard towards subdued yet entertaining levity by way of communion or juxtaposition.                  "
Tales of the Night,2011,80,"                      Without doubt, Ocelot's Tales of the Night has a great deal of charm.                  "
The Gambler,2015,43,"                      By the end, it's difficult to care about Jim as Wahlberg represents him.                  "
Make Your Move,2013,38,                      Its lack of sparks on the dance floor are matched by the sense of alienation when the dancing stops.                  
Evidence,2013,6,"                      Evidence suggests that there's a much better film lurking under the surface here, but the one we get results in, at best, a hung jury.                  "
Passion,2012,33,"                      All the director’s themes are at play in Passion: obsession, voyeurism, eroticism, murder, and the warped mind of a killer—they’re all present. But they never come alive in the sensational way they do in his best films.                  "
Joffrey: Mavericks of American Dance,2012,55,"                      The pace never lags leaving the viewer wanting more, never less than what has been presented.                  "
Winter in the Blood,2013,67,"                      Though the narrative meanders and often feels too elliptical for its own good, the film is a character piece delivered as a languid tone poem, life as a bramble weed drifting simultaneously to freedom and trouble.                  "
Death of Me,2020,31,"                      Death of Me is a mind-bogglingly tedious bit of vaguely racist horseshit that is devoid of chills, thrills, or even cheap gore.                  "
Dreams,2011,68,"                      The movie, an eight-part trance, is beautiful but disconnected.                   "
I Am Eleven,2011,79,                      A bad film with good intentions.                  
A Separation,2011,99,                      It touches on a reality of life that transcends any political or cultural barrier while also offering some thought-provoking insight into the religious laws and social structure of that part of the world.                  
The Informer,2019,64,"                      “The Informer” nimbly plays within its gritty crime genre, maintaining a propulsive pace that keeps its audience on their toes. It all tangibly plays out within the moral malaise of underworld violence and crooked law enforcement.                  "
Berberian Sound Studio,2012,86,"                      Berberian Sound Studio is definitely unique with some wonderful moments that nail what Strickland is going for, but it's too uneven to be something truly great.                  "
Angels Sing,2013,29,"                      Angels Sing certainly isn't for everyone, but for those seeking something different for the holiday viewing it's a winning film.                  "
Errors of the Human Body,2012,75,"                      Errors Of The Human Body is a thought-provoking, slow burn thriller that speaks to the moral conscience within each of us when it comes to science versus ethics and playing God.                  "
Gone,2006,54, 
Great Expectations,2012,68,"                      It is an intelligent and moving version of the book, with a good deal to say in its own right.                  "
Trishna,2011,63,                      The film abruptly shifts gears from love story to tragedy to unwatchable torture porn.                  
A Royal Night Out,2015,75,"                      A sweet and charming dramedy with a shade of Roman Holiday. Sarah Gadon is terrific as young Elizabeth, able to capture the future queen’s calm countenance and earthy spirit.                  "
Hyena,2014,78,                      This nasty horror sucks you into a grisly world of duplicitous cops and brutish criminals prepared to butcher anyone who gets in their way.                  
War of the Buttons,2011,25,"                      This ""family adventure"" is exactly the type of yarn made for adults too uncomfortable with revealing the truth of a cruel world to the little beings they've brought into it.                  "
Northern Soul,2014,76,                      Tone deaf.                  
Queen of the Desert,2015,18,                      The director fails to find a dramatic framework through which to view his subject.                  
Sweet Dreams,2013,100,                      A powerful documentation of the endurance of the human spirit in the wake of devastation and tragedy.                  
Gone,2012,12,                      There's not much worse than a thriller that isn't thrilling.                  
Juan of the Dead,2011,83,                      Juan of the Dead is a huge laugh at the Cuban revolution.                  
Truth or Die,2012,22,                      A strong horror mystery that skirts the edge of torture porn but never quite resorts to such exploitative violence...                  
Free Ride,2013,14,"                      It's unspeakably depressing to see Anna Paquin playing the mom (of a teenager!), but the pointlessness and mediocrity of the Paquin-produced ""Free Ride"" is even more depressing.                  "
Ruby Sparks,2012,79,"                      The setup may be ancient in origin, but the treatment is sophisticated, beguiling, insightful, and brimming with charm.                  "
My Son,2021,38,"                      Pity McAvoy, who was left to improvise.                   "
Rockstar,2011,83,"                      The fact that this romance unfolds on screen in the form of an explosive musical, capturing JJ's transmutation into Jordan, the edgy artist, makes the film an absolutely engaging affair.                  "
Sleepless Nights Stories,2011,67,"                      It proves that Mekas is still very much awake, contemplating the broad gulfs of the past and future, the little life that, as Shakespeare put it, ""is rounded with a sleep.""                  "
The Magic of Belle Isle,2012,29,                      Hopeless drivel.                  
Divergent,2014,41,                      There have been far more compelling metaphors for the trials of adolescence.                  
The Words,2012,24,                      Bradley Cooper has really got to stop doing bad things for the sake of writing.                  
Captain America: The Winter Soldier,2014,90,"                      The increasingly difficult struggle of Steve Rogers upholding his vow to remain a good man while wading through so much villainy achieves great resonance and this tremendously entertaining film, the MCU's best, is as interested in testing mettle as metal.                  "
Inescapable,2012,17,                      A joyless exercise in prevailing generality.                  
Mekong Hotel,2012,67,"                      Even for a filmmaker who takes pride in scaling the fantastic down to everyday proportions, there's such a thing as going too slight.                  "
Walk Away Renee,2011,44,"                      ""Walk Away Renee"" lets us observe a mother-son bond, but Mr. Caouette hasn't found a way to galvanize this incarnation of material for strangers.                  "
Ai Weiwei: Never Sorry,2012,98,"                      Never Sorry doesn't aim to spur you into action by stoking your righteous indignation. Instead, it uses its charming, cool-kid rebel subject to make getting involved seem enticing.                  "
In the Family,2011,97,                      ...a humanist triumph.                  
Metro Manila,2013,94,"                      Metro Manila sports some excellent visual sequences, and manages to abstain from veering into overly soapy melodramatics... At its core, the film features a dynamite lead performance from Macapagal.                  "
Reality,2012,80,                      Explores the pratfalls of celebrity with the unashamed extravagance and reckless abandon of reality TV and its many characters.                  
Trash,2010,66,"                      Trash is a magical film, possessing the ability to simultaneously anger you and lift your spirits as you are taken for a thrilling ride through the injustice of life in Rio de Janeiro.                  "
Around the Block,2013,67,                      A gem of a film.                  
Remainder,2015,91,"                      Brilliantly written and directed, all that keeps Remainder from getting five stars is an ending that fails to provide satisfactory answers to the beautiful chaos that precedes it.                  "
Tomboy,2011,96,"                      As with her debut, Celine Sciamma has a knack for getting amazing performances out of her young actors. Particularly, Zoé Héran is a revelation. Her portrayal of a confused child (not of her sexuality but the sexual politics) is touching and deeply felt.                  "
Crawl,2011,63,"                      A sluggish, uninspired chore from start to finish.                  "
Agneepath,2012,92,"                      Agneepath's success is in Karan Malhotra's conscious decision to embrace the thing that makes Bollywood masala so appealing, the spectacle.                  "
Sisters,2015,60,"                      Sisters is one of those comedies that ends with a series of outtakes over the end credits, and by the looks of it, the talent had more fun shooting the film than we did watching it.                   "
Dracula 3D,2012,14,"                      Whether Mr. Argento meant this to be A) serious, B) silly, or C) a combination of both, the end result is, I'm sorry to say, almost completely unwatchable.                  "
Lucky,2011,15,"                      Drama cannot live on wobbly metaphors alone, and the untenable roles are played without charisma.                  "
Django Unchained,2012,87,"                      Quentin Tarantino continues to play with history and cinematic tradition in Django Unchained, his self-proclaimed “Southern” whose deposits of blaxploitation and Spaghetti Western filmmaking engage a violent saga of revenge and historical atrocity.                  "
Love Is All You Need,2012,75,"                      Love Is All You Need is a different strand of romantic comedy that has been missing for some time; sweet, heartwarming and utterly dysfunctional.                  "
"Turtle Hill, Brooklyn",2013,60,"                      A special film that exudes an honesty, authenticity and transparency that is rare even among the more transparent indie fare.                  "
Just Like a Woman,2012,13,                      Sienna Miller turns in an effortless and subtle performance.                  
Phantom Boy,2015,88,"                      Overall, Phantom Boy doesn't have the dense thematic complexity that many animated films have gone for since Pixar became the industry standard but it is a simply enjoyable alternative.                  "
Where Soldiers Come From,2011,82,"                      Its scope is both limited and intimate, a quality that is both to its credit and its detriment. But it is very much an essential document of the times we live in.                  "
Fatherhood,2021,67,                      Fatherhood is a heartbreakingly lovely comedy. It also has Kevin Hart’s very best performance.                  
The Sorcerer and the White Snake,2011,27,"                      Beautiful martial arts fantasy with scary imagery, violence.                  "
Allegiance,2012,29,                      Thoughtful characterizations and commendable performances only go so far when what's working as an intimate expos of the rank and file facing a gut-check moment of utilitarianism tries to become a taut thriller against the clock.                  
Alps,2011,75,                      Episode 21: Alps / Dogtooth / The Favourite - Yorgothon                  
17 Girls,2011,68,                      An altogether French film populated with fresh-faced and energetic young women...                  
Dirty Grandpa,2016,10,"                      The premise has potential, but the execution is painfully unfunny.                  "
Goddess,2013,35,"                      The music is catchy enough, but hampered by the lip-sync problems that persist throughout the dance sequences feel flat and uninventive.                  "
The Highwaymen,2019,58,"                      I get the inevitable complaints of “too slow” and “not enough action”. Yet I found myself loving it – the slow burn, the prickly Costner, the subtle moral questions it tosses out there.                  "
Turbo,2013,67,"                      The snail-eye view of burning up the racetrack at 200+ mph is thrilling; you'll think, 'Why am I getting this excited about an oxymoronic fast snail?' Finding one's bliss is magical!                  "
Deepwater Horizon,2016,82,"                      I’m an admitted disaster movie junkie, and many of them depend on some level of sensationalism. “Deepwater Horizon” keeps its focus on the 126 crew members aboard the rig on that horrible day.                   "
Semper Fi: Always Faithful,2011,100,                      Jerry Ensminger isn't an environmental or public health crusader as much as a grieving father.                  
Low Down,2014,50,"                      Jazz isn't just a style, it's a musical mood, and 'Low Down' gets right in there.                  "
The Tall Man,2011,85,"                      The Tall Man, a documentary from Australian director Tony Krawitz, paints a complex picture of the death in police custody of Aborigine Cameron Doomadgee, 36, on Palm Island (Queensland) in November 2004                  "
Confession of a Child of the Century,2012,0,"                      Sylvie Verheyde's Confessions of a Child of the Century will forever carry a certain curiosity with it thanks to its headlining star, but ultimately his performance is the detrimental stone which could plunge this adaptation into eventual obscurity.                  "
Detention of the Dead,2012,57,"                      Detention Of The Dead isn't the best zombie movie ever (or even this year) or the best teen movie ever, but we've all seen worse examples of both genres, and as combinations go, it serves as diversion for the audience.                  "
Silver Bullets,2011,78,"                      When lines get blurry, you need to maintain balance, and Silver Bullets has a solid center of gravity between multiple axes.                  "
Song of the Sea,2014,99,"                      Based on Irish folklore and soaked with mythic iconography, ""Song of the Sea"" confronts loss and sorrow head-on.                  "
The Sessions,2012,91,                      Lewin examines the potentially taboo subject of disabled people having intercourse in a matter-of-fact way that breaches the topic by rendering it a non-issue.                  
Three Kings,2011,94,"                      It has a distinctive look and feel, an atmosphere of burnout and chaos; it launches at a high energy level and generally stays there. The buzz, however, wears off fast.                  "
Broken,2012,63,"                      A first rating supporting cast is also responsible for some quietly observed moments, though none of the performers are able to mask the increasing hysterical elements of the film's overly dramatic narrative.                  "
Brothers Hypnotic,2013,100,"                      At 84 minutes, the doc feels a bit long, and it’s easy to envision a one-hour version working well for public broadcast. Still, Atlas does a fine job painting a complete picture of his subjects, and giving us a few musical treats along the way.                  "
Filly Brown,2012,42,"                      However much earnest commitment and passion that the cast lend to their roles, it ultimately cannot overcome the routine structure and approach to the overall execution.                  "
Hollow,2011,20,"                      Whilst Axelgaard as a director could be one to watch, in this instance he's regrettably hamstrung by the tired trappings of the found footage cycle, into which he is unable to breathe fresh air.                  "
The East,2013,76,                      That the film leaves us thinking about our morals yet has involved us in the entertaining intrigue of a spy drama is a testament to its effectiveness as a thriller and a project with something to say.                  
The Train,2011,94,                      Its waffly thoughts on cultural heritage can’t derail it.                  
This Changes Everything,2015,56,"                      A provocative, important argument, but this is ultimately a confused film, trying to fuse several different stories-some of which would have made interesting stand-alone documentaries-into one worthy, but uneasy whole.                  "
Marius,2013,50,"                      Slight in every conceivable aspect, it's the initial chapter in a continuing provincial trilogy of wayward love and strict adherence to social norms, here related without any kind of additional panache.                  "
The Judge,2014,49,"                      The familiarity of the story hurts what is Dobkin's otherwise pleasantly sincere and straightforward direction, and a number of fine performances.                  "
The Raid,2012,87,"                      The action is furious and non-stop, and Evans makes no bones about the type of movie he’s making. It’s heart-pounding and occasionally thrilling, but don’t expect much in terms of plot or character development.                  "
God Loves Uganda,2013,100,                      Williams' eye-opening doc reveals the truth about the origins of the Ugandan anti-gay movement and the army of American evangelicals who imported it.                  
Supporting Characters,2012,86,"                      Offers a few laughs, all served up on eyeball-gougingly ugly digital video.                  "
Into the White,2012,45,"                      Plods from one sequence to the next, unable to escape an inherent feeling of transparency, of wearing its simple themes on its humdrum sleeve.                  "
Hello Herman,2012,20,"                      It's a call to look at ourselves, our families, our schools, our workplaces, and our communities and doing everything that is within our power to do.                  "
Sparkle,2012,56,                      A film that should inspire instead collapses.                  
The Knot,2012,0,                      Truly dire wedding comedy The Knot represents an all-time low in Noel Clarke's distinctly patchy big-screen career.                  
X-Men: Days of Future Past,2014,90,"                      It’s start is a bit jarring, the future Sentinels look pretty generic, and I could list a few other nitpicks. But in terms of story, storytelling, and sheer entertainment, the movie scores where it counts.                  "
Excuse Me for Living,2012,14,"                      A catchy but irrelevant title is the first of many problems with Excuse Me for Living, which throws together a lot of superficially flashy elements that never gel in any organic way.                  "
The Darkness,2016,100,"                      It is a rather original take on several classic premises, but it might be a little too cryptic for its own good.                  "
Date and Switch,2014,30,"                      ""Date and Switch"" should have had something new to say about high school friendships. It doesn't.                  "
Kodachrome,2017,72,                      It’s equal parts family drama and character study with maybe a pinch of black comedy.                  
Maggie,2015,59,                      It is such an interesting mix of subtle horror and emotional family drama.                  
Zeroville,2019,23,                      Vikar is just a weird guy left out to dry on a plotline.                  
The British Guide to Showing Off,2011,93,"                      It never feels like a private party for the elite and well-connected, Benstock emphasising that it is an inclusive, non-judgemental space in which anyone can participate.                  "
Klitschko,2011,84,"                      It is a film both epic and intimate, a rousing tribute to two incredible athletes who, upon closer inspection, are actually so much more.                  "
Paris-Manhattan,2012,43,"                      Lellouche does herself no favours by wearing such influences on her sleeve, yet her cast are game, the locations look great, and the whole enterprise has an agreeably frothy touch.                  "
Under Control,2011,100,                      This documentary about nuclear power plants is as chilling as its title is ironic.                  
Corpo Celeste,2011,83,                      A good performance from newcomer Yile Vianello as Marta holds much of the film together.                  
Grey Matter,2011,100,                      An incisive metafiction by the Rwandan director Kivu Ruhorahoza...                  
